"original_text","normalize_text","language","category","flag","last_update","remark"
"t.kasih","terima kasih","Malay","VOC_EDITOR","1","2017-04-19 17:41:30",\N
"reps","representative","English","VOC_EDITOR","1","2017-04-19 17:54:19",\N
"cancle","cancel","English","VOC_EDITOR","1","2017-04-19 17:54:19",\N
"termi","terminate","Malay","VOC_EDITOR","1","2017-04-20 09:09:46",\N
"kerjabaikpulih","kerja baik pulih","Malay","VOC_EDITOR","1","2017-04-20 09:21:43",\N
"makanmasa","makan masa","Malay","VOC_EDITOR","1","2017-04-20 09:21:43",\N
"ke2","kedua","English","MANUAL_TAG","1","2017-07-04 09:39:51","-"
"rebete","rebate","English","VOC_EDITOR","1","2017-04-20 09:23:58",\N
"bhgn","bahagian","Malay","VOC_EDITOR","1","2017-04-20 11:42:23",\N
"phm","faham","Malay","VOC_EDITOR","1","2017-04-20 11:42:23",\N
"membetulkn","membetulkan","Malay","VOC_EDITOR","1","2017-04-20 11:42:23",\N
"pkhdmatn","perkhidmatan","Malay","VOC_EDITOR","1","2017-04-20 17:31:23",\N
"trkilan","terkilan","Malay","VOC_EDITOR","1","2017-04-20 17:31:23",\N
"trpaksa","terpaksa","Malay","VOC_EDITOR","1","2017-04-20 17:31:23",\N
"n?t^amun","namun","Malay","MANUAL_TAG","1","2017-06-20 11:40:47","mirul_dataset"
"seba?t~rang","sebarang","Malay","VOC_EDITOR","1","2017-04-20 17:34:29",\N
"t.aru","tanjung aru","English","VOC_EDITOR","1","2017-04-20 17:38:33",\N
"we`re","we were","English","VOC_EDITOR","1","2017-04-20 17:41:22",\N
"i/c","identity card","Malay","VOC_EDITOR","1","2017-04-20 17:51:27",\N
"pembaikkan","pembaikan","Malay","VOC_EDITOR","1","2017-04-21 10:22:12",\N
"memua","memuaskan","Malay","VOC_EDITOR","1","2017-04-21 10:22:12",\N
"mesr","mesra","Malay","VOC_EDITOR","1","2017-04-21 10:38:59",\N
"mau","mahu","Malay","VOC_EDITOR","1","2017-04-21 10:46:22",\N
"techician","technician","Malay","VOC_EDITOR","1","2017-04-21 11:18:02",\N
